식물 이름,사진,학명,설명,물주기,빛,습도,잘 자라는 온도,"겨울철 관리 온도
",특징 색상,식물 유형,가시 유무,잎 모양1,잎 모양2,잎 모양3,잎 모양4,식물경험,"반려식물
안전성",유통 크기,난이도,유통가격,,,,,,,
필로덴드론 셀로움,그림,Philodendron selloum,"우리나라 꽃시장에서는 '셀렘'이라고 유통되지만 실제 이름은 '셀로움'이에요. 셀로움은 곧게 뻗은 줄기와 곡선이 많은 잎에서 매력을 찾을 수 있어요. 뾰족한 하트모양의 잎에 갈라짐이 더해져 이국적인 생김새를 지니고 있답니다. 흙 위로 공중 뿌리가 자라나며 줄기를 지지하기도 한답니다. 필로덴드론 품종 중 셀로움은 비교적 건조함에 강하고 실내의 간접광에서도 키울 수 있어요. 공기 중의 포름알데히드와 일산화탄소를 제거하는 능력이 뛰어나 실내 공기정화 식물로 많은 사랑을 받는 식물이에요. 넓은 잎을 가진만큼 잎에 먼지가 잘 앉아서 깨끗한 헝겊으로 자주 닦아주어야 공기정화 능력을 발휘할 수 있고, 광합성도 원활하게 할 수 있답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,21~25℃,13℃ 이상,녹색,잎을 감상하는,,하트모양,길쭉한,갈라진,잎 끝이 뾰족한,,,중형,중,1만원~2만5천원,,,,,,,
유칼립투스 폴리안,그림,Eucalyptus polyanthemos,유칼립투스 폴리안은 동글동글 귀여운 잎을 가진 호주 출신 유칼립투스에요. 동글동글한 잎사귀를 살짝 부비부비 해주면 상큼한 향기가 은은하게 풍기는 매력만점인 식물이랍니다. 해외에선 'Red box gum' 이라고 불리기도 해요. 다양한 품종 중 특히 폴리안은 유칼립투스 중 키우기 쉬운 편에 속하는 아이랍니다. 강한 햇빛과 바람이 아주 잘 통하는 곳을 좋아해 빛을 오래 받을 수 있고 통풍이 잘 되는 야외에서 키우는 것이 가장 좋아요. 환경만 맞는다면 성장속도가 아주 빨라서 키우는 재미가 있지만 물주기가 까다로워 물주기를 세심하게 확인해야하는 식물이에요. 식물에 독성이 있어 반려동물과 어린아이가 있다면 섭취하지 않도록 주의가 필요해요.,"평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,18~25℃,10℃ 이상,은빛이 도는 녹색,잎을 감상하는,,둥근모양,잎이 두꺼운,,,,주의 필요,"소, 중형",상,"소: 1만원~1만5천원
중: 2만5천원~3만5천원",,,,,,,
수박 페페로미아,그림,Peperomia argyreia,남아메리카에서 온 수박 페페로미아는 잎의 무늬가 수박의 껍질을 닮아 여름에 찰떡인 식물이랍니다. 두껍고 큰 잎을 가지고 있어 물을 자주 주지 않아도 되어 초보 식집사들도 쉽게 키울 수 있는 식물이에요. 수박 페페로미아는 한 쪽에만 빛이 집중되면 수형이 흐트러질 수 있어 화분을 자주 돌려주면서 골고루 빛을 받을 수 있도록 해주시면 풍성하고 귀엽게 키울 수 있어요. 수박페페는 독성이 없어 반려동물과 어린아이가 있는 집에서도 안심하고 키울 수 있어요.,"평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,21~25℃,13℃ 이상,초록잎에 짙은 녹색 무늬가 있는 (수박무늬),잎을 감상하는,,둥근모양,무늬가 있는,잎 끝이 뾰족한,잎이 두꺼운,초보자,안전,소형,하,3천원~8천원,,,,,,,
알로카시아 프라이덱,그림,Alocasia micholitziana 'Frydek',"알로카시아 프라이덱은 'Green Velvelt Alocasia'라고도 불리우며, 아시아의 아열대 지역과 호주 동부에서 온 식물이랍니다. 하트모양의 잎은 보드러운 벨벳을 만지는 듯한 느낌을 주고, 벨벳 질감의 진한 녹색잎에 흰색 잎맥이 대비되어 집 안에 하나만 있어도 포인트가 확실하게 되는 식물이에요. 빛이 드는 곳에서 보면 꼭 형광처럼 빛나는 착각마저 들게해요. 아주 매력적인 식물이지만 적절한 환경 조건을 맞춰주지 않으면 잎에 금세 티가 나 키우기는 다소 어려운 편에 속하는 식물이랍니다. 프라이덱은 밝은 간접광과 따뜻한 온도, 그리고 촉촉한 습도를 좋아해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,70% 이상,18~29℃,15℃ 이상,진한 녹색잎에 흰색 잎맥,잎을 감상하는,,둥근모양,하트모양,길쭉한,무늬가 있는,,,"소, 중형",상,"소: 5천원~8천원
중: 1만5천원~2만원",,,,,,,
필로덴드론 버킨 (무늬 콩고),그림,Philodendron Birkin,"필로덴드론 버킨은 빛이 적은 곳에서도 잘 자라고 물을 자주 주지 않아도 되어 초보가드너도 쉽게 키울 수 있어요. 하얀 빗살무늬가 매력적인 필로덴드론 버킨은 실내공기를 정화해주는 능력도 갖고 있어 인테리어 식물로도 각광받고 있어요. 필로덴드론 버킨은 '필로덴드론 로조 콩고'의 재배 과정에서 자연적 돌연변이로 나오게 되었어요. 변이가 불안정한 식물이라 시간이 흐르면 로조 콩고를 닮은 잎이 날 수도 있답니다. 길이가 수직으로 길어지면서 자라기보다는 옆으로 수세를 넓혀가는 덩굴형의 습성을 보이는 식물로, 빛을 골고루 받을 수 있도록 해주시면 풍성한 느낌을 선물해주는 식물이에요. 식물체에 독성이 있으므로 어린아이와 반려동물의 손이 닿지 않는 곳에 두는 것이 좋습니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,70% 이상,18~30℃,16℃ 이상,녹색잎에 하얀 빗살무늬,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,주의 필요,"소, 중형",하,"소: 6천원~1만원
중: 1만원~1만3천원",,,,,,,
알보 몬스테라 (몬스테라 알보 바리에가타),그림,Monstera delisiosa var. borsigiana albo variegata,"알보 몬스테라는 유전적인 변이로 인해 초록색을 띠는 엽록소가 없이 부분 부분마다 하얀 무늬가 생긴 변이종이에요. 인위적으로는 만들어 낼 수 없고, 수입도 금지되어 있어 희소성이 높아 아주 비싼 가격을 형성하고 있답니다. '식테크', '무천이(무늬천재)', '알보몬' 등의 많은 신조어를 만들어 낸 장본인인 알보 몬스테라는 흰 부분이 많을수록 햇빛을 흡수하여 필요한 양분을 만들어내는 광합성작용을 잘 하지 못하기 때문에 일반 몬스테라보다 더 많은 빛을 필요로 해요. 또한 온도와 습도에도 아주 예민한 아이라 많은 식집사들의 애간장을 태우기도 한답니다. 알보 몬스테라는 배수가 아주 잘 되는 토양에 심어주시고, 창문을 거친 밝은 간접광이 드는 따뜻한 곳에서 공기를 촉촉하게 유지해주면서 키워주셔야 한답니다. 잎 크기를 크게 키우시고 싶다면 수태봉의 도움을 받아보세요. 더 튼튼한 잎으로 성장할 수 있답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,70% 이상,15~25℃,20℃ 이상,초록잎에 하얀무늬,잎을 감상하는,,둥근모양,하트모양,갈라진,무늬가 있는,,,중형,상,10만원~,,,,,,,
드라세나 맛상게아나 (행운목),그림,Dracaena fragrans ‘Massangeana’,"행운목으로 잘 알려진 드라세나 맛상게아나는 1700년대부터 유럽에서 실내식물로 이용되었어요. 행운목은 빛이 적은 곳에서도 잘 자라 초보가드너도 쉽게 키울 수 있는 식물이에요. 또한 주변 습도를 촉촉하게 만들어주는 능력이 뛰어나 실내 공기정화식물로 오랫동안 사랑 받는 식물이랍니다. 영어이름은 'Corn plant'인데, 행운목의 잎 모양이 옥수수 잎 모양과 닮아있어서 붙여진 이름이랍니다. 종명인 ‘Fragrans’는 향기로운 꽃을 의미하는데, 향기로운 행운목 꽃은 7년에 한 번 정도 불규칙적으로 피어서 굉장히 드물어 꽃을 본 사람은 '다시 오지 않을 행운이 온다'는 이야기도 있어요. 다만, 반려동물에게 독성이 있으므로 주의해 주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,16~24℃,13℃ 이상,녹색잎에 밝은 초록의 무늬,잎을 감상하는,,길쭉한,무늬가 있는,잎 끝이 뾰족한,잎이 두꺼운,초보자,주의 필요,"소, 중형",하,"소: 5천원~8천원
중: 8천원~1만2천원",,,,,,,
해피트리,그림,Heteropanax fragrans,"두릅나무과의 해피트리는 행운과 재물을 불러온다고 해서 개업 선물, 집들이 선물로 인기가 많은 식물로, 중국에서는 '행복나무', '부귀수'라고도 불려요. 풍성한 푸른 잎이 시원해보이는 외모를 갖고 있고 목대는 거칠고 주름이 많답니다. 해피트리는 밝은 빛이 오래 머무는 공간에서 토양 과습에 주의를 기울여 주신다면 실내에서도 건강하게 잘 키울 수 있어요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,21~25℃,13℃ 이상,녹색,잎을 감상하는,,둥근모양,길쭉한,잎 끝이 뾰족한,잎이 빳빳한,초보자,,"중, 대형",하,"중: 1만5천원~3만원
대: 4만원~7만원",,,,,,,
아레카 야자,그림,Chrysalidocarpus lutescens,아레카야자는 NASA가 선정한 실내 공기 정화 1위 식물이에요. 독성이 없어서 반려동물에게도 안전한 아레카야자는 빛이 적은 곳에서도 잘 자라 초보가드너도 어려움 없이 키울 수 있는 식물입니다. 증산량이 많아 천연 가습기 역할도 훌륭하게 해낸답니다. 마다가스카르에서 온 아레카 야자는 따뜻한 곳을 좋아해요. 강한 직사광선보다는 은은한 간접적인 빛을 좋아하고 다양한 환경에 잘 적응하는 식물이랍니다.,"평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,18~24℃,13℃ 이상,녹색,잎을 감상하는,,길쭉한,갈라진,잎 끝이 뾰족한,잎이 두꺼운,초보자,안전,"중,대형",하,"중: 1만3천원~3만원
대: 4만5천원~7만원",,,,,,,
여인초,그림,Ravenala madagascariensis,"마다가스카르에서 온 여인초는 윤기나는 두꺼운 달걀모양의 잎이 시원하고 이국적인 느낌을 주는 잎보기 식물입니다. 원산지에서는 아주 크게 성장하며 그 모양이 부채처럼 보여 '부채 파초'라고도 불린답니다. 촉촉한 습도와 은은한 간접광을 좋아하는 여인초는 집 안을 이국적으로 만들어 줄 수 있는 훌륭한 실내 공기정화 식물입니다. 여인초는 은은한 빛이 드는 따뜻한 곳에서 주변공기를 촉촉하게 관리해준다면 초보가드너도 건강하게 키울 수 있어요. 극락조와 그 생김새가 아주 닮아있지만 잎의 두께와 모양을 확인하면 쉽게 구분할 수 있어요. 여인초의 잎은 넓고 광택이 나는 부드러운느낌의 달걀형 잎을 가지고 있고, 극락조의 잎은 여인초에 비해 좁고 두껍고 타원형에 가까운 모양을 하고 있답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,18~25℃,13℃ 이상,"녹색잎, 흰색꽃",잎을 감상하는,,둥근모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,,"중,대형",하,"중: 1만5천원~3만원
대: 8만원~10만원",,,,,,,
머틀 허브나무,그림,Myrtus communis,"머틀허브는 지중해, 북 아프리카에서 온 상큼한 레몬향이 나는 허브식물입니다. 서양에서는 '축복의 나무'라고 불리며, 하얀 꽃과 잎의 향이 좋아 입욕제로 쓰이기도 하고, 세균을 없애는 효과가 있어 방부제, 소염제로도 쓰였다고해요. 머틀허브의 향기는 호흡기 질환에 좋 은 식물이랍니다. 햇빛과 바람이 충분한 환경이라면 큰 어려움 없이 키울 수 있어요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,13~24℃,10℃ 이상,녹색,잎을 감상하는,,둥근모양,길쭉한,잎 끝이 뾰족한,잎이 빳빳한,,,소형,하,1만원~1만2천원,,,,,,,
관음죽,그림,Rhapis excelsa,"아시아 지역에서 온 관음죽은 일본의 관음산에서 자라는 대나무라 하여 이름이 붙여졌어요. 5~7개로 갈라지는 잎은 모양이 손바닥을 닮았으며 야자과에 속하는 친구라 시원한 분위기를 연출할 수 있어요. 그늘과 추위에도 잘 견디고, 병해충에도 강하기 때문에 초보 가드너에게 추천하는 식물이에요. 수경재배로 키울 수도 있어서 집안에 흙을 두고 싶지 않는 사람들에게도 좋아요. 관음죽은 암모니아와 이산화탄소 흡수에 뛰어나고, NASA에서 발표한 공기정화 식물 2위이기도 해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,10~27℃,-7ºC 이상,녹색,잎을 감상하는,,길쭉한,갈라진,무늬가 있는,잎이 두꺼운,초보자,안전,"중, 대형",하,"중: 1만5천원~2만원
대: 5만원~8만원",,,,,,,
호야 카르노사 (무늬 호야),그림,Hoya carnosa,"동남아와 호주에서 온 호야 카르노사는 현지에서 나무껍질, 돌 틈에 착생해요. 'Wax plant' 라는 영명을 지니고 있는 호야는 왁스칠을 한 듯, 광택이 나는 잎을 가지고 있어요. 건조하게 관리하는게 좋으며 과습에 약해요.이쁜 꽃을 보기 위해서는 5~9월 사이, 낮 12시간 이상 한 달 넘게 빛을 받아야 해요. 또한 온도변화에 민감해서 한 공간에서 키우는게 좋아요. 호야는 실내공기를 정화하는 능력이 있는 공기정화 식물입니다. 특히 새집증후군을 일으키는 성분인 자일렌의 제거효율이 높은 편에 속해요. 호야는 향기나는 분홍, 흰색 꽃을 피우며 매년 꽃이 피는 자리에서 꽃이 피어요. 늘어지듯이 자라서 행잉화분에 심어 공중에 매달아서 많이 기른답니다.","평균 주 1~2회
화분 속 흙이 다 마르면 듬뿍 주세요",반양지,40~70%,21~25°C,13℃ 이상,녹색에 하얀무늬,잎을 감상하는,,둥근모양,무늬가 있는,잎 끝이 뾰족한,잎이 두꺼운,초보자,안전,소형,중,3천원~6천원,,,,,,,
파키라,그림,Pachira aquatica,파키라는 튼튼한 줄기에 수분을 저장해서 건조에 강하고 빛이 적은 곳에서도 잘 자라 초보가드너도 쉽게 키울 수 있는 식물입니다. 건조보다는 과습에 주의해서 키워주세요. 남아메리카에서 온 파키라는 영어로 'Money tree' 라고도 불려요. '돈을 부른다'는 의미로 개업 선물로도 인기가 많은 식물이랍니다.,"평균 주 1~2회
화분 속 흙이 다 마르면 듬뿍 주세요",반양지,40~70%,21-25°C,13℃ 이상,녹색,잎을 감상하는,,별모양,잎 끝이 뾰족한,,,초보자,안전,"소,중형",하,"소: 5천원~7천원
중: 1만2천원~2만원
대: 4만원~7만원",,,,,,,
로즈마리,그림,Rosmarinus officinalis,"바다의 이슬이라고 불리는 로즈마리는 미의 여신 아프로디테의 허브라는 별명이 있을 정도로 피부 미용에 좋아요. 지중해 해변 근처에서 온 로즈마리는 햇빛을 좋아하고, 바람이 잘 부는 환경을 좋아해요. 로즈마리는 향기가 있어 공간에 향긋함을 전해주고 로즈마리의 향기는 기억력 회복에 좋고 집중력을 높여줘요. 아토피성 천식 치료에도 도움을 준답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,18~27℃,-3℃ 이상,은빛이 도는 녹색,잎을 감상하는,,바늘모양,길쭉한,잎이 두꺼운,잎이 빳빳한,,안전,"소, 중형",중,"소: 8천원~1만원
중: 2만원~2만5천원",,,,,,,
아데니움 (사막의 장미),그림,Adenium obesum,"어린왕자 속 바오밥 나무를 닮은 아데니움은 건조한 기후에서도 아름다운 꽃을 피워 사막의 장미라고도 많이 알려져있어요. 통통한 줄기에 수분을 저장하는 능력이 뛰어나 물을 자주 주지 않아도 되고 밝은 햇빛을 아주 좋아하는 식물입니다. 협죽도과에 속하는 아데니움은 진액 속에 독성이 있어서 반려동물이나 어린아이가 있을 경우에는 섭취하지 않도록 주의해주시고, 진액에 의해 알러지 반응이 나타날 수 있으므로 식물을 다룰 때 꼭 장갑을 껴야합니다.","평균 월 1~2회
단단한 몸통이 말랑말랑해지면 듬뿍 주세요",양지,40~70%,21~25℃,10℃ 이상,녹색,다육/선인장,X,둥근모양,길쭉한,잎이 두꺼운,,,주의 필요,소형,중,1만원~1만5천원,,,,,,,
히메 몬스테라 (미니 몬스테라),그림,Rhaphidophora tetrasperma,"히메몬스테라는 몬스테라를 닮은 작은 잎을 가지고 있어 '미니 몬스테라' 혹은 공주를 뜻하는 일본어인 히메를 붙여 '히메 몬스테라'라고 불리는 식물이에요. 비슷하게 생겼지만 히메 몬스테라는 몬스테라와 다른 종류랍니다. 몬스테라는 새 잎은 찢어져 있지 않고 자랄수록 그 잎이 찢어지지만, 히메 몬스테라는 어린 새 잎도 찢어져 있는 것을 확인하실 수 있답니다. 태국, 말레이시아가 원산지인 히메 몬스테라는 촉촉한 공기를 좋아하고 빛도 좋아하는 덩굴성 식물이에요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,70% 이상,16~25℃,13℃ 이상,녹색,잎을 감상하는,,둥근모양,갈라진,잎 끝이 뾰족한,,초보자,,소형,중,1만원~1만5천원,,,,,,,
홍콩야자 (쉐프렐라 홍콩),그림,Schefflera arboricola,홍콩야자는 따뜻한 열대 지역이 원산지인 두릅나뭇과 식물이에요. 원산지에서는 주로 하천을 따라 있는 습한 숲에서 살고 있어요. 우산을 닮아서 ‘우산 나무’라고 부르기도 해요. 적응력이 강해 키우기 어렵지 않고 공기 정화 능력이 있어서 꾸준한 인기 식물입니다. 바닷바람에도 잘 견뎌 따뜻한 지중해와 하와이에서는 해안 조경용으로도 쓰인답니다. 홍콩야자는 차가운 온도에는 약하고 약간의 독성이 있어서 반려동물이 있다면 주의해야 하는 식물입니다.,"평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,21~25℃,7℃ 이상,녹색,잎을 감상하는,,둥근모양,갈라진,잎이 두꺼운,,초보자,주의 필요,중형,중,2만원~3만원,,,,,,,
홍공작 (무늬 백량금),그림,Ardisia crenata 'Beni Kujaku',"홍공작은 '백량금'이라는 식물의 잎 색 변이로 탄생한 식물로, 무늬 백량금이라고도 불리웁니다. 진보라색의 잎 색이 아주 신비한 느낌을 주는 홍공작은 빛이 적은 곳에서도 잘 자라고 관리하기 까다롭지 않아 초보가드너분들도 잘 키우실 수 있는 식물입니다. 빛의 양에 따라 잎 색이 변하는 재미를 느끼실 수도 있고 이파리 만으로도 꽃이 만개한 것 같은 화려한 느낌을 주며 여름에 하얀 작은 꽃이 피고, 가을이 되면 빨간 열매가 맺혀 관상미를 더해주는 팔색조의 매력을 가진 식물이랍니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,16~20℃,5℃ 이상,진보라색,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,,"소, 중형",하,"소: 5천원~1만원
중: 1만원~1만5천원",,,,,,,
필레아 페페로미오이데스,그림,Pilea peperomioides,"동전식물, UFO식물, 팬케이크' 식물이라고도 불리는 페페로미아는 사방으로 자라는 둥근 잎을 가지고 있어요. 외형이 독특해서 어린아이들에게도 인기가 좋아요. 잎의 모양이 후추를 닮은 후추과 식물이에요. 반그늘에서도 잘 자라지만 햇빛을 보지 못하면 잎이 숟가락처럼 휘고, 잎의 색이 옅어져요. 빛이 잘 드는 곳에서 키우다 보면 화분에서 조그마한 잎이 올라오는데, 필레아 페페로미오데스의 자식들이랍니다. 어느 정도 성장했을 때 분리해서 화분에 심어주시면 금새 대가족이 되어있을 거에요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,13~30℃,10℃ 이상,녹색,잎을 감상하는,,둥근모양,잎이 두꺼운,잎이 빳빳한,,초보자,안전,소형,하,4천원~8천원,,,,,,,
프테리스 고사리,그림,Pteris cretica,프테리스는 하늘하늘거리는 엷은 연두잎이 사랑스러운 식물이에요. 포름알데히드를 제거하는 능력이 아주 좋아 실내 공기를 정화해주는 능력도 탁월하답니다. 프테리스의 얇은 줄기와 길쭉한 잎은 동양적인 느낌을 연출하기도 해요. 프테리스는 물이 마르면 잎이 바싹 마를 수 있으니 관심을 갖고 관리해주세요.,"평균 주 2회 이상
흙이 촉촉한 상태를 유지하는 것이 좋아요",반음지,70% 이상,15~25℃,5℃ 이상,무늬가 있는 옅은 연두잎,잎을 감상하는,,길쭉한,갈라진,무늬가 있는,잎 끝이 뾰족한,초보자,안전,"소, 중형",하,"소: 3천원~8천원
중: 1만원~1만5천원",,,,,,,
테이블야자,그림,Chamaedorea elegans,테이블 야자의 속명 Chamaedorea는 ‘난쟁이(dwarf)줁와 ‘선물(gift)줁이라는 그리스어에서 유래되었어요. 테이블 야자는 그 이름처럼 선물하기에 아주 좋은 식물이에요. 또한 빛이 적은 곳에서도 잘 자라고 다양한 환경에 대한 적응력이 좋아서 키우기 쉬운 식물이에요. 그래서 초보 가드너들에 많이 추천하는 식물이랍니다. 게다가 독성이 없어서 반려동물에게 안전하고 각종 화학물질을 제거하는 공기정화 능력이 뛰어난 식물이라 오랫동안 사랑받고 있어요.,"평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,21~25℃,13℃ 이상,녹색,잎을 감상하는,,바늘모양,길쭉한,갈라진,잎 끝이 뾰족한,초보자,안전,소형,하,2천원~7천원,,,,,,,
칼라데아 프레디 (칼라데아 콘친나),그림,Goeppertia Concinna 'Freddie',"반짝거리는 줄무늬의 초록 잎이 매력적인 칼라데아 프레디는 '새로운 시작을 축하합니다.'라는 의미가 깃들어 있어 서양에서는 집들이 선물, 취업선물로 아주 인기가 많은 식물입니다. 따뜻한 남아메리카가 고향이기 때문에 추위에는 약한 편이고, 촉촉한 공중습도를 좋아해요. 가끔 샤워하실 때 화장실로 데려가 스팀을 맞게 해주시면 아주 좋아할거예요. 칼라데아속의 친구들은 모두 수돗물의 염소성분에 예민하기 때문에 물을 주시거나 분무를 해 주실 때 주의해주세요, 하루 이상 받아두어 염소농도가 낮아진 수돗물이나 정수기 물을 이용해 주시면 잎이 얼룩지지않고 잘 자란답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,70% 이상,18~23℃,13℃ 이상,연두잎에 초록의 무늬가 있는,잎을 감상하는,,둥근모양,무늬가 있는,잎 끝이 뾰족한,잎이 빳빳한,,안전,소형,중,5천원~7천원,,,,,,,
칼라데아 진저 (칼라데아 오나타),그림,Goeppertia Ornata 'Sanderiana',"진녹색의 잎에 선명한 분홍색의 빗살무늬가 매력적인 칼라데아 진저는 따뜻한 남아메리카가 고향이기 때문에 추위에는 약한 편이고, 촉촉한 공중습도를 좋아해요. 가끔 샤워하실 때 화장실로 데려가 스팀을 맞게 해주시면 아주 좋아할거예요. 칼라데아 진저는 낮에는 햇빛을 많이 받기 위해 잎을 내려 활짝 펴고 밤에는 다시 하늘 위로 오므리는 변화를 보인답니다. 움직임을 관찰하는 재미가 있는 식물이예요. 칼라데아속의 친구들은 모두 수돗물의 염소성분에 예민하기 때문에 물을 주시거나 분무를 해 주실 때 주의해주세요, 하루 이상 받아두어 염소농도가 낮아진 수돗물이나 정수기 물을 이용해 주시면 잎이 얼룩지지않고 잘 자란답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,70% 이상,16~25℃,15℃ 이상,진녹색의 잎에 분홍색의 빗살무늬 ,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,,안전,소형,중,5천원~1만원,,,,,,,
칼라데아 아마그리스 (크테난테 아마그리스),그림,Ctenanthe burle-marxii 'Amagris',"작은 연둣빛 동그란 잎사귀가 아주 귀여운 칼라데아 아마그리스는 잎 뒷면이 보라색이라 반전 매력을 소유한 식물입니다. 대부분의 칼라데아속 식물들은 남아메리카에서 온 데 반해, 아마그리스는 벨기에의 실험실에서 만들어진 품종이라고 해요. 작은 잎들이 따글따글 옹기종기 모여서 자라고, 따뜻한 온도와 촉촉한 공기를 좋아합니다. 시원시원한 큰 잎을 가진 칼라데아 친구들 사이에서 미니미니한 사이즈로 매니아들에게 매우 인기가 있는 희소성 있는 품종이랍니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,70% 이상,18~23℃,13℃ 이상,"연두잎에 초록색 잎맥, 잎뒷면이 보라색",잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎이 빳빳한,,안전,"소, 중형",하,"소: 5천원~8천원
중: 1만5천원~2만5천원",,,,,,,
청산호 (연필 선인장),그림,Euphorbia tirucalli,"청산호는 길쭉한 연필을 닮아서 연필선인장으로도 불리우는 다육식물이에요. 햇빛이 들어오는 방향으로 자라는 청산호는 주기적으로 화분을 돌려가며 키워주셔야 똑바르게 자란답니다. 다육식물이기 때문에 물을 많이 주지 않아도 되고 생명력이 강해 초보가드너들이 키우기에 적합한 식물입니다. 하지만 식물에 상처가 나거나 부러지게 되면 그 부위에서 하얀 진액이 나오는데, 이 진액에는 독성이 있어 알러지 반응을 일으킬 수 있기 때문에 다루실 때 항상 주의가 필요한 식물입니다.","평균 월 1~2회
통통한 몸통이 살짝 쭈글해지면 듬뿍 주세요",반양지,40~70%,15~27℃,13℃ 이상,녹색,다육/선인장,X,둥근모양,길쭉한,,,초보자,주의 필요,소형,하,"5천원~1만원
",,,,,,,
율마 (윌마),그림,Cupressus macrocarpa 'Wilma Goldcrest',"율마는 측백나무과의 침엽수에요. 일 년 내내 밝은 연둣빛 잎과 상큼한 레몬 향이 매력적인 식물이죠. 바다 안개가 자욱하면서 시원한 곳에 사는 율마는 환경을 적절히 맞춰주기 까다로울 수 있어요. 여름에는 조금 시원하게, 겨울에는 약간 따뜻하게 키운다면 화분에서 한 그루 나무의 모습을 느낄 수 있는 몇 안 되는 식물 중 하나랍니다. 동물에게 약간의 독성이 있으므로 반려동물이 있다면 주의해 주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,16~20℃,10℃ 이상,연두색,잎을 감상하는,,바늘모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,주의 필요,"소, 중형",상,"소: 3천원~8천원
중: 1만원~1만5천원",,,,,,,
올리브 나무,그림,Olea europaea,"올리브의 열매는 몸속 유해 산소의 생성을 억제하는 강력한 항산화 작용이 있어 다양한 요리에 쓰이는 중요한 식자재로, 역사가 가장 오래된 과일나무 중의 하나입니다. 일교차가 적고 강수량도 적은 지중해에서 온 올리브 나무는 강렬한 햇빛과 시원한 바람만 있다면 키우는 데 큰 무리가 없는 인기식물이랍니다. 올리브 나무는아주 다양한 품종이 존재해요. 품종에 따라 자기 스스로 열매를 맺지 못하는 종류도 있고 한 그루만으로도 열매를 맺을 수 있는 종류도 있답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,16~27℃,-3℃ 이상,은빛이 도는 녹색,잎을 감상하는,,둥근모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,안전,"소,중형",중,"소: 7천원~1만원
중: 1만5천원~2만5천원",,,,,,,
